#name	chrom	strand	txStart	txEnd
ENSMUST00000097785_at	chr1	+	34068669	34365495
ENSMUST00000097786_at	chr1	+	34068669	34365495
ENSMUST00000097789_at	chr1	+	34068669	34365495
ENSMUST00000115104_at	chr1	+	34068669	34365495
ENSMUST00000088216_at	chr1	+	34068669	34365495
ENSMUST00000115102_at	chr1	+	34178475	34219992
ENSMUST00000047664_at	chr1	+	34858604	34869583
ENSMUST00000001166_at	chr1	+	36568720	36585079
ENSMUST00000097776_at	chr1	+	36568720	36585079
ENSMUST00000027291_at	chr1	+	36818705	36839661
ENSMUST00000027290_at	chr1	-	36849035	36996372
ENSMUST00000117172_at	chr1	+	37083440	37133840
ENSMUST00000067178_at	chr1	+	37086160	37133828
ENSMUST00000055564_at	chr1	+	37086160	37123295
ENSMUST00000027289_at	chr1	+	37210688	37244449
ENSMUST00000027286_at	chr1	-	37477170	37486854
ENSMUST00000041815_at	chr1	-	37811620	37921924
ENSMUST00000114903_at	chr1	-	37811620	37921924
ENSMUST00000088072_at	chr1	-	37817667	37922143
ENSMUST00000114902_at	chr1	-	37817667	37912219
ENSMUST00000027254_at	chr1	-	38003580	38014604
ENSMUST00000114894_at	chr1	-	38003582	38014604
ENSMUST00000027251_at	chr1	-	38109631	38186507
ENSMUST00000095027_at	chr1	-	38234170	38684030
ENSMUST00000039827_at	chr1	-	38236293	38721800
ENSMUST00000027250_at	chr1	-	38392275	38721800
ENSMUST00000027249_at	chr1	-	38920721	38955005
ENSMUST00000064410_at	chr1	-	38926987	38954998
ENSMUST00000056815_at	chr1	+	39251048	39419031
ENSMUST00000054462_at	chr1	-	39428344	39535580
ENSMUST00000027244_at	chr1	+	39958074	40081770
ENSMUST00000027241_at	chr1	+	40281924	40373022
ENSMUST00000114795_at	chr1	+	40323430	40373043
ENSMUST00000097772_at	chr1	+	40496620	40520164
ENSMUST00000053043_at	chr1	+	40497552	40522241
ENSMUST00000027231_at	chr1	+	40738469	40826111
ENSMUST00000078844_at	chr1	-	42705047	42749960
ENSMUST00000095014_at	chr1	-	43104113	43155467
ENSMUST00000086421_at	chr1	+	43502595	43627340
ENSMUST00000114744_at	chr1	+	43502595	43627360
ENSMUST00000069918_at	chr1	+	43514117	43519067
ENSMUST00000065767_at	chr1	-	44163390	44175618
ENSMUST00000027213_at	chr1	-	44163390	44175618
ENSMUST00000074525_at	chr1	+	44608355	44853671
ENSMUST00000086430_at	chr1	-	45431165	45560127
ENSMUST00000114615_at	chr1	-	45431175	45500537
ENSMUST00000027139_at	chr1	+	45852343	45880458
ENSMUST00000069293_at	chr1	+	46346410	46430383
ENSMUST00000094964_at	chr1	+	46487607	46864309
ENSMUST00000114565_at	chr1	+	50966805	51036764
ENSMUST00000081851_at	chr1	+	50984366	51244114
ENSMUST00000114567_at	chr1	+	50984791	51242325
ENSMUST00000018561_at	chr1	-	51806608	51972796
ENSMUST00000046390_at	chr1	-	51806608	51972796
ENSMUST00000114537_at	chr1	-	51806608	51972796
ENSMUST00000114541_at	chr1	-	51806832	51964160
ENSMUST00000087708_at	chr1	+	52687590	52707480
ENSMUST00000044478_at	chr1	+	52901891	52977704
ENSMUST00000027267_at	chr1	-	53246036	53353840
ENSMUST00000087677_at	chr1	-	53604022	53622541
ENSMUST00000094952_at	chr1	-	53623878	53763628
ENSMUST00000087659_at	chr1	-	53868018	54097336
ENSMUST00000120904_at	chr1	-	53868018	54250892
ENSMUST00000097741_at	chr1	-	53987660	54251878
ENSMUST00000027128_at	chr1	+	54307526	54425571
ENSMUST00000044359_at	chr1	-	54702183	54983202
ENSMUST00000027127_at	chr1	-	55042015	55084323
ENSMUST00000075431_at	chr1	-	55217488	55343249
ENSMUST00000114415_at	chr1	-	56853110	57028178
ENSMUST00000042857_at	chr1	-	56853110	57028178
ENSMUST00000041978_at	chr1	+	57831771	58005238
ENSMUST00000027202_at	chr1	+	58052909	58082741
ENSMUST00000040999_at	chr1	+	58170021	58257542
ENSMUST00000050552_at	chr1	+	58449991	58463392
ENSMUST00000097724_at	chr1	-	58584099	58643167
ENSMUST00000038372_at	chr1	-	58584099	58643167
ENSMUST00000027186_at	chr1	-	58957293	59003342
ENSMUST00000057069_at	chr1	-	58959838	59030274
ENSMUST00000097080_at	chr1	-	59107349	59151744
ENSMUST00000114295_at	chr1	-	59107349	59151744
ENSMUST00000027178_at	chr1	-	59219775	59294063
ENSMUST00000114254_at	chr1	-	59220901	59293937
ENSMUST00000114248_at	chr1	+	59313816	59409286
ENSMUST00000036295_at	chr1	+	59358063	59409286
ENSMUST00000114243_at	chr1	+	59573107	59691352
ENSMUST00000087435_at	chr1	+	59821480	59927703
ENSMUST00000036540_at	chr1	+	59969849	60042190
ENSMUST00000035569_at	chr1	+	60238547	60338882
ENSMUST00000114202_at	chr1	+	60400166	60429551
ENSMUST00000060608_at	chr1	+	60400215	60444231
ENSMUST00000090293_at	chr1	-	60547255	60623613
ENSMUST00000027168_at	chr1	-	60550168	60623609
ENSMUST00000046451_at	chr1	+	62056880	62684497
ENSMUST00000102822_at	chr1	+	62749858	62865269
ENSMUST00000114157_at	chr1	+	62749890	62865266
ENSMUST00000075144_at	chr1	+	62749890	62865266
ENSMUST00000027112_at	chr1	+	62749890	62843665
ENSMUST00000063594_at	chr1	+	62750275	62865269
ENSMUST00000114155_at	chr1	+	62750275	62843555
ENSMUST00000046020_at	chr1	-	63009148	63138503
ENSMUST00000114103_at	chr1	+	63492464	63619791
ENSMUST00000114108_at	chr1	+	63492477	63643089
ENSMUST00000114107_at	chr1	+	63492477	63643089
ENSMUST00000087374_at	chr1	+	63492477	63643089
ENSMUST00000114101_at	chr1	+	63492483	63615668
ENSMUST00000097717_at	chr1	+	63540742	63642850
ENSMUST00000090313_at	chr1	-	63669424	63733501
ENSMUST00000114086_at	chr1	-	64076020	64168065
ENSMUST00000114089_at	chr1	-	64082248	64167974
ENSMUST00000055001_at	chr1	-	64082248	64167963
ENSMUST00000049932_at	chr1	+	64579377	64651121
ENSMUST00000087366_at	chr1	+	64579377	64651121
ENSMUST00000027097_at	chr1	+	64579454	64644851
ENSMUST00000114077_at	chr1	+	64737028	64772218
ENSMUST00000094898_at	chr1	+	64747454	64770387
ENSMUST00000097713_at	chr1	-	64835694	65003398
ENSMUST00000114042_at	chr1	+	65233258	65325270
ENSMUST00000097708_at	chr1	+	65233323	65320586
ENSMUST00000081154_at	chr1	+	65236901	65320332
ENSMUST00000097707_at	chr1	+	65236901	65320332
ENSMUST00000027083_at	chr1	+	65357830	65435818
ENSMUST00000114017_at	chr1	+	66221886	66488602
ENSMUST00000114015_at	chr1	+	66221889	66489157
ENSMUST00000024639_at	chr1	+	66298235	66489155
ENSMUST00000114018_at	chr1	+	66298235	66489155
ENSMUST00000114013_at	chr1	+	66368292	66485762
ENSMUST00000077355_at	chr1	+	66411228	66489157
ENSMUST00000114012_at	chr1	+	66411231	66489157
ENSMUST00000114009_at	chr1	+	66514940	66718654
ENSMUST00000050986_at	chr1	+	66673769	66743223
ENSMUST00000087318_at	chr1	+	66673769	66743223
ENSMUST00000068168_at	chr1	-	66765936	66864120
ENSMUST00000042389_at	chr1	-	66765936	66864120
ENSMUST00000113987_at	chr1	-	66782115	66864136
ENSMUST00000027151_at	chr1	-	66970871	66991606
ENSMUST00000113984_at	chr1	-	66970871	66981116
ENSMUST00000119429_at	chr1	-	66970871	66981928
ENSMUST00000120415_at	chr1	-	66972639	66981907
ENSMUST00000027144_at	chr1	+	67169639	67277022
ENSMUST00000119302_at	chr1	+	67631626	67633610
ENSMUST00000027146_at	chr1	-	69583963	69732395
ENSMUST00000053922_at	chr1	+	70772288	70931971
ENSMUST00000113937_at	chr1	+	70775352	70931971
ENSMUST00000055226_at	chr1	-	71632093	71699746
ENSMUST00000097700_at	chr1	-	71632093	71699746
ENSMUST00000087254_at	chr1	-	71632093	71699746
ENSMUST00000048860_at	chr1	-	72206019	72258881
ENSMUST00000047786_at	chr1	-	72473686	72583504
ENSMUST00000053499_at	chr1	-	72689553	72747138
ENSMUST00000047328_at	chr1	+	72871065	72899037
ENSMUST00000080287_at	chr1	+	72871153	72898736
ENSMUST00000120564_at	chr1	+	72871895	72899041
ENSMUST00000080167_at	chr1	+	74172114	74194797
ENSMUST00000044260_at	chr1	-	74485685	74590860
ENSMUST00000055335_at	chr1	-	74485685	74590860
ENSMUST00000042125_at	chr1	+	74708327	74744546
ENSMUST00000006718_at	chr1	+	74838592	74850745
ENSMUST00000094844_at	chr1	-	74948653	74982173
ENSMUST00000057511_at	chr1	-	74971859	74982173
ENSMUST00000055223_at	chr1	+	75233029	75241379
ENSMUST00000116582_at	chr1	+	75233029	75242265
ENSMUST00000082158_at	chr1	+	75233061	75242265
ENSMUST00000027451_at	chr1	-	77363759	77511663
ENSMUST00000113540_at	chr1	-	77363759	77511663
ENSMUST00000004994_at	chr1	-	78097841	78193413
ENSMUST00000087086_at	chr1	-	78097844	78193691
ENSMUST00000036172_at	chr1	+	78306919	78416862
ENSMUST00000113524_at	chr1	+	78507743	78534746
ENSMUST00000012331_at	chr1	+	78508465	78534746
ENSMUST00000027467_at	chr1	-	79790771	79855211
ENSMUST00000077946_at	chr1	-	80497762	80644907
ENSMUST00000057520_at	chr1	-	80563925	80661283
ENSMUST00000113491_at	chr1	+	81073778	81295484
ENSMUST00000068275_at	chr1	+	81073891	81268224
ENSMUST00000113494_at	chr1	+	81073898	81296673
ENSMUST00000068297_at	chr1	+	81073898	81333316
ENSMUST00000027322_at	chr1	+	82313165	82441932
ENSMUST00000087050_at	chr1	-	82449132	82583367
ENSMUST00000087027_at	chr1	-	82449444	82583367
ENSMUST00000113457_at	chr1	+	82583550	82717843
ENSMUST00000027348_at	chr1	-	83252020	83404741
ENSMUST00000053075_at	chr1	-	83262539	83404741
ENSMUST00000051845_at	chr1	-	84032877	84281166
ENSMUST00000049126_at	chr1	-	84366415	84692796
ENSMUST00000027421_at	chr1	-	84717763	84835879
ENSMUST00000113407_at	chr1	+	85196185	85210323
ENSMUST00000113404_at	chr1	+	85196185	85210115
ENSMUST00000113402_at	chr1	+	85196185	85210323
ENSMUST00000113392_at	chr1	+	87423174	87448743
ENSMUST00000066427_at	chr1	+	87546624	87606023
ENSMUST00000027424_at	chr1	+	87546624	87606023
ENSMUST00000097667_at	chr1	+	87546624	87606023
ENSMUST00000054279_at	chr1	+	87546624	87578850
ENSMUST00000027429_at	chr1	+	87942842	87952030
ENSMUST00000027444_at	chr1	-	88439593	88479087
ENSMUST00000065694_at	chr1	+	88600417	88946665
ENSMUST00000065624_at	chr1	+	88717839	88945481
ENSMUST00000113270_at	chr1	-	88994578	88998181
ENSMUST00000027475_at	chr1	+	89223616	89347347
ENSMUST00000097662_at	chr1	+	89223616	89347347
ENSMUST00000068681_at	chr1	-	89373414	89442633
ENSMUST00000027477_at	chr1	-	89373414	89406921
ENSMUST00000042275_at	chr1	+	89516950	89617075
ENSMUST00000072999_at	chr1	+	89516950	89617075
ENSMUST00000027512_at	chr1	+	89652645	89688997
ENSMUST00000113186_at	chr1	+	89652650	89688997
ENSMUST00000113190_at	chr1	+	89652660	89688997
ENSMUST00000113188_at	chr1	+	89652660	89688997
ENSMUST00000113142_at	chr1	+	89952056	90115572
ENSMUST00000073772_at	chr1	+	89967404	90115572
ENSMUST00000113139_at	chr1	+	89984387	90115579
ENSMUST00000058237_at	chr1	+	89991695	90115572
ENSMUST00000113138_at	chr1	+	89999826	90115578
ENSMUST00000113135_at	chr1	+	89999836	90115572
ENSMUST00000113137_at	chr1	+	90003436	90115572
ENSMUST00000113134_at	chr1	+	90031383	90115572
ENSMUST00000014263_at	chr1	+	90034952	90115572
ENSMUST00000027518_at	chr1	+	90303632	90323006
ENSMUST00000051236_at	chr1	-	90569701	90598451
ENSMUST00000027521_at	chr1	+	91351380	91791852
ENSMUST00000074945_at	chr1	+	91351380	91791852
ENSMUST00000086882_at	chr1	-	91849252	91911152
ENSMUST00000097656_at	chr1	-	91849252	91911152
ENSMUST00000113094_at	chr1	-	91938709	92042113
ENSMUST00000097653_at	chr1	-	92663434	92740529
ENSMUST00000056925_at	chr1	-	92663435	92740351
ENSMUST00000066153_at	chr1	-	92663435	92740351
ENSMUST00000068116_at	chr1	+	92895380	93025485
ENSMUST00000068167_at	chr1	+	92895380	93025485
ENSMUST00000094698_at	chr1	+	93041679	93067372
ENSMUST00000027538_at	chr1	+	93437141	93456167
ENSMUST00000086843_at	chr1	+	93437656	93456167
ENSMUST00000007949_at	chr1	+	93698037	93744605
ENSMUST00000008995_at	chr1	-	93829333	94044970
ENSMUST00000062202_at	chr1	+	95132417	95197640
ENSMUST00000058682_at	chr1	+	95270472	95300079
ENSMUST00000027502_at	chr1	+	95651599	95684756
ENSMUST00000027507_at	chr1	-	95934883	95949130
ENSMUST00000060976_at	chr1	-	98808388	98894149
ENSMUST00000027569_at	chr1	-	98955614	99024830
ENSMUST00000058762_at	chr1	-	99717671	99992090
ENSMUST00000097625_at	chr1	-	99717671	99992090
ENSMUST00000027575_at	chr1	+	100317700	100405957
ENSMUST00000062528_at	chr1	+	106665105	106891255
ENSMUST00000058688_at	chr1	-	107176507	107253247
ENSMUST00000070699_at	chr1	-	107417722	107555585
ENSMUST00000112808_at	chr1	-	107450365	107555585
ENSMUST00000112806_at	chr1	-	107453615	107555585
ENSMUST00000086721_at	chr1	+	107560489	107650652
ENSMUST00000039173_at	chr1	+	107560489	107650652
ENSMUST00000027559_at	chr1	+	107677299	107744558
ENSMUST00000061047_at	chr1	+	108068580	108290821
ENSMUST00000112751_at	chr1	-	108434754	108610851
ENSMUST00000080103_at	chr1	-	108434769	108610851
ENSMUST00000122046_at	chr1	-	108916713	108921902
ENSMUST00000112701_at	chr1	+	111879286	112036734
ENSMUST00000086681_at	chr1	+	111880391	112036081
ENSMUST00000027542_at	chr1	+	111880391	112035766
ENSMUST00000094626_at	chr1	-	112785771	112873949
ENSMUST00000043725_at	chr1	+	117581332	118478603
ENSMUST00000094621_at	chr1	+	117581713	118477251
ENSMUST00000049404_at	chr1	+	120285634	120506009
ENSMUST00000070989_at	chr1	+	120285634	120506009
ENSMUST00000062483_at	chr1	-	120730637	120950196
ENSMUST00000004565_at	chr1	-	121366885	121401205
ENSMUST00000052404_at	chr1	-	121444707	121545513
ENSMUST00000027632_at	chr1	-	121492455	121545513
ENSMUST00000027637_at	chr1	+	122017763	122084766
ENSMUST00000056038_at	chr1	+	122017771	122084761
ENSMUST00000112644_at	chr1	+	122017771	122084759
ENSMUST00000112641_at	chr1	-	122120962	122167659
ENSMUST00000051660_at	chr1	-	122122999	122166807
ENSMUST00000112640_at	chr1	-	122122999	122161861
ENSMUST00000112639_at	chr1	-	122123208	122167000
ENSMUST00000112643_at	chr1	-	122123229	122169282
ENSMUST00000027638_at	chr1	-	122124144	122161832
ENSMUST00000003818_at	chr1	-	123200933	123224363
ENSMUST00000071064_at	chr1	-	123202123	123229157
ENSMUST00000112620_at	chr1	+	123327671	123346328
ENSMUST00000036025_at	chr1	+	123327676	123398165
ENSMUST00000001731_at	chr1	+	123327676	123340362
ENSMUST00000112621_at	chr1	+	123327686	123398165
ENSMUST00000027581_at	chr1	+	127573569	127770436
ENSMUST00000027582_at	chr1	-	127768615	127808791
ENSMUST00000094609_at	chr1	-	128421615	128634767
ENSMUST00000038361_at	chr1	+	129101594	129379644
ENSMUST00000027585_at	chr1	-	129383134	129574598
ENSMUST00000038006_at	chr1	+	129625989	129664141
ENSMUST00000086614_at	chr1	-	129850767	129998985
ENSMUST00000112539_at	chr1	-	129850863	129999026
ENSMUST00000037426_at	chr1	-	129872804	129999026
ENSMUST00000097597_at	chr1	-	129883686	129999624
ENSMUST00000097598_at	chr1	-	129883686	129988710
ENSMUST00000027592_at	chr1	+	130140757	130175954
ENSMUST00000027602_at	chr1	-	130260284	130313902
ENSMUST00000073527_at	chr1	+	131170050	132115853
ENSMUST00000040311_at	chr1	+	131170050	131946530
ENSMUST00000039862_at	chr1	-	132473289	132526173
ENSMUST00000038829_at	chr1	+	132762248	132777335
ENSMUST00000032395_at	chr1	-	133181827	133423938
ENSMUST00000097588_at	chr1	-	133181827	133423938
ENSMUST00000027683_at	chr1	-	133191922	133421595
ENSMUST00000068613_at	chr1	+	133424563	133436449
ENSMUST00000073350_at	chr1	+	133534890	133572077
ENSMUST00000112411_at	chr1	+	133535070	133572080
ENSMUST00000116536_at	chr1	+	133558507	133572077
ENSMUST00000062264_at	chr1	+	133807110	133829549
ENSMUST00000112381_at	chr1	+	133814538	133829549
ENSMUST00000112370_at	chr1	-	133923204	133964542
ENSMUST00000086547_at	chr1	-	133934706	133964469
ENSMUST00000112365_at	chr1	-	133935494	133964542
ENSMUST00000046658_at	chr1	-	133935494	133964542
ENSMUST00000045110_at	chr1	+	134314029	134363536
ENSMUST00000043189_at	chr1	-	134466567	134603758
ENSMUST00000094569_at	chr1	-	134466567	134638342
ENSMUST00000077730_at	chr1	+	134942588	135005264
ENSMUST00000027736_at	chr1	-	135516447	135557957
ENSMUST00000027721_at	chr1	+	136543257	136645994
ENSMUST00000045665_at	chr1	-	136656985	136852517
ENSMUST00000086444_at	chr1	-	136662519	136852517
ENSMUST00000044828_at	chr1	-	136882929	137001853
ENSMUST00000059352_at	chr1	+	137221389	137264642
ENSMUST00000067468_at	chr1	+	137481349	137496527
ENSMUST00000097561_at	chr1	+	137616637	137648809
ENSMUST00000027649_at	chr1	-	138740852	138857004
ENSMUST00000074797_at	chr1	-	139959991	140071843
ENSMUST00000027645_at	chr1	-	139959991	140071843
ENSMUST00000112038_at	chr1	-	139959991	140071843
ENSMUST00000081416_at	chr1	-	139959991	140071843
ENSMUST00000112036_at	chr1	-	139959991	140071843
ENSMUST00000070283_at	chr1	+	140860362	140960290
ENSMUST00000094505_at	chr1	+	140864297	141068489
ENSMUST00000071518_at	chr1	+	141018443	141068489
ENSMUST00000059825_at	chr1	-	141094919	141273618
ENSMUST00000027616_at	chr1	-	141128114	141273618
ENSMUST00000094484_at	chr1	-	141707399	141915487
ENSMUST00000119786_at	chr1	+	142142792	142506656
ENSMUST00000120796_at	chr1	+	142142794	142506359
ENSMUST00000120709_at	chr1	+	142142802	142508640
ENSMUST00000060201_at	chr1	+	142142833	142506838
ENSMUST00000086355_at	chr1	+	142142833	142506838
ENSMUST00000018337_at	chr1	-	145454629	145549814
ENSMUST00000038252_at	chr1	+	145487872	145496960
ENSMUST00000018343_at	chr1	-	145602736	145624108
ENSMUST00000052375_at	chr1	-	145985796	146024502
ENSMUST00000111941_at	chr1	-	145985796	146024405
ENSMUST00000074622_at	chr1	+	148342795	148749599
ENSMUST00000070200_at	chr1	-	151676752	151808414
ENSMUST00000006164_at	chr1	+	152166546	152181035
ENSMUST00000111902_at	chr1	-	152297000	152313295
